郑康业，香港演员，代表作品为《猛鬼舞厅》《猴形扣手》《七十二家房客》等。[1] 	郑康业 香港 演员 代表作品 猛鬼 舞厅 猴形 扣手 七十二家 房客
黄新德，男，汉族，1947年8月出生，安徽怀宁人。第二批国家级非物质文化遗产项目黄梅戏代表性传承人，国家一级演员，第九届中国戏剧梅花奖获得者，享受国务院政府特殊津贴。[1] 	黄新德 汉族 出生 安徽 怀宁 第二批 国家级 物质 文化遗产 项目 黄梅戏 代表性 传承 国家一级 演员 第九届 中国 戏剧 梅花奖 获得者 享受 国务院 政府 特殊津贴
林文月（女，1933年－），台湾省彰化县人，作家、学者、翻译家。曾任台湾大学中文系讲师、副教授、美国华盛顿大学中文系客座教授、斯坦福大学客座教授、捷克查尔斯大学客座教授。身兼研究者、文学创作者、翻译者三种身份，并且于这三个领域中都交出亮丽的成绩单。	林文 台湾省 彰化县 作家 学者 翻译家 曾任 台湾大学 中文系 讲师 副教授 美国华盛顿大学 中文系 客座教授 斯坦福大学 客座教授 捷克 查尔斯 大学 客座教授 身兼 研究者 文学 创作者 翻译者 三种 身份 三个 领域 交出 亮丽 成绩单
刘忠良，男，1944年5月20日出生，是一名演员。主要作品有《南拳北腿》、《鹰爪铁布衫》、《神腿铁扇功》等。刘忠良于1972年拍了第一部台湾电影《中国拳》。	忠良 出生 一名 演员 主要 作品 南拳 北腿 鹰爪 铁布衫 神腿 铁扇 忠良 第一部 台湾 电影 中国
韩湘宁，1939年生，中国台湾知名的照相写实主义油画家，曾是“五月画会”的一员。他的名字常做韩湘宁。出生于重庆，祖籍湖南湘潭。曾就读于台湾师范大学美术系，于1961年毕业，早期画作以抽象画为主，多重视造型与空间。他是少数曾使用油漆滚桶作画的画家。1967年，韩湘宁移居纽约，1970年时风格大幅转变为照相写实主义，并大量使用喷枪技法、特色是揉和了印象派画家修拉的点描派的风格，使得画作相当生动。1976年他曾入选美国“建国两百年移民艺术家特展”。1985年后，他的风格多了使用数码影像、并逐渐的开始了水墨画的创作。韩湘宁曾在美国多所艺术学校客座，包括纽约大学艺术研究所、芝加哥艺术学院等，也在香港中文大学和香港城市大学任客座教授。他在台北县莺歌镇、云南大理都有艺术工作室。	韩湘宁 年生 中国台湾 知名 照相 写实主义 油画家 五月 一员 名字 常做 韩湘宁 生于 重庆 祖籍 湖南 湘潭 就读于 台湾 师范大学 美术系 毕业 早期 画作 抽象画 为主 重视 造型 空间 少数 使用 油漆 滚桶 作画 画家 韩湘宁 移居 纽约 年时 风格 大幅 转变 照相 写实主义 大量 使用 喷枪 技法 特色 印象派 画家 修拉 描派 风格 画作 相当 生动 入选 美国 建国 两百年 移民 艺术家 特展 风格 使用 数码影像 逐渐 水墨画 创作 韩湘宁 美国 多所 艺术 学校 客座 包括 纽约大学 艺术 研究所 芝加哥 艺术 学院 香港中文大学 香港城市大学 客座教授 台北县 莺歌 云南 大理 艺术 工作室
王谦祥，男，相声演员。1948年2月出生于天津市武清区城关镇大桃园，现为国家一级演员，任中国煤矿文工团曲艺委员会副主任、中国曲艺家协会理事、北京市曲艺家协会副主席。	王谦祥 相声 演员 生于 天津市 武清区 城关镇 桃园 现为 国家一级 演员 中国 煤矿 文工团 曲艺 委员会 主任 中国曲艺家协会 理事 北京市 曲艺家 协会 主席
冯钟越（1931年12月31日—1982年10月），北京人，杰出的飞机结构强度专家。长期从事飞机结构设计与强度研究工作。在新型歼击机结构强度计算与试验，航空结构分析系统（HAJIF）的开发研制和航空结构静、动、热强度试验现代化等方面作出了重要贡献。因长期积劳成疾于1982年10月，不幸病逝，年仅51岁。	冯钟 北京 杰出 飞机 结构 强度 专家 长期 从事 飞机 结构设计 强度 研究 工作 新型 歼击机 结构 强度 计算 试验 航空 结构 分析 系统 HAJIF 开发 研制 航空 结构 强度 试验 现代化 方面 作出 重要 贡献 长期 积劳成疾 不幸 病逝 年仅
史景迁（JonathanD.Spence，1936年8月11日—），又名乔纳森·斯宾塞，历史学者，著名中国史研究专家。是美国当代著名的中国史研究专家，以研究明清史见长。曾任2004一2005年度美国历史学会会长，在西方汉学界中享有很高的声誉。史景迁师从于著名的汉学家芮沃寿和芮玛丽夫妇以及《清代名人传》的作者房兆楹，并因其研究成果而得到老一辈学者如费正清等人的高度赞誉，在同辈学者当中也享有很高的声誉，有人将其与哈佛大学的孔飞力、加利福尼亚大学伯克利分校的魏克曼并称为“三杰”[1] 。史景迁十分擅长于人物研究，人物研究可以说是史氏研究的一大亮点，在其笔下涉及的人物数量很多，层次也很丰富[2] 。一生致力于中国研究的美国汉学家。史氏对中国的研究从晚明一直延伸到了当代，清史研究是其研究的起点和重点[3] 。2017年8月，获得第十一届中华图书特殊贡献奖。2018年9月7日，荣获第四届世界中国学贡献奖。[4-5] 	史景迁 JonathanD Spence 又名 乔纳森 斯宾塞 历史学者 著名 中国史 研究 专家 美国 当代 著名 中国史 研究 专家 研究 明清 见长 曾任 年度 美国 历史 学会 会长 西方 汉学界 享有 声誉 史景迁 师从 著名 汉学家 芮沃寿 芮玛丽 夫妇 清代 名人传 作者 房兆楹 研究成果 得到 老一辈 学者 费正清 高度 赞誉 同辈 学者 当中 享有 声誉 有人 哈佛大学 孔飞力 加利福尼亚大学 伯克利分校 魏克曼 称为 三杰 史景迁 十分 擅长于 人物 研究 人物 研究 史氏 研究 一大 亮点 笔下 涉及 人物 数量 很多 层次 丰富 一生 致力于 中国 研究 美国 汉学家 史氏 中国 研究 晚明 延伸 当代 清史 研究 研究 起点 重点 获得 第十一届 中华 图书 特殊 贡献奖 荣获 第四届 世界 中国 贡献奖
李筱菊（1929年9月—2018年3月23日），女，毕业于燕京大学(现北京大学)西方语言文学系。李筱菊1953年开始从教，任中山大学外国语言文学系助教、讲师，1970调入广州外国语学院(广外前身)，历任英语系讲师、副教授、系副主任、教授、外国语言学与应用语言学专业博士生导师。李筱菊，2018年3月23日因病在广州逝世。[1] 	李筱菊 毕业 燕京大学 北京大学 西方 语言 文学系 李筱菊 从教 中山大学 外国 语言 文学系 助教 讲师 调入 广州 外国语 学院 广外 前身 历任 英语系 讲师 副教授 主任 教授 外国 语言学 应用 语言学 专业 博士生 导师 李筱菊 因病 广州 逝世
管宗祥，中国影视、话剧演员。曾名管叔，汉族，1927年生于山东平邑。导演管虎之父。[1] 曾演出《包氏父子》、《良宵血案》、《老炮儿》等影片。还参加拍摄《浪迹天涯》、《黄粱梦》、《大饭店小故事》、《武生泰斗》等电视连续剧。著有《电影疯人》、《表演艺术生涯四十五年》等。	管宗祥 中国 影视 话剧 演员 曾名 管叔 汉族 生于 山东 平邑 导演 管虎 之父 演出 包氏 父子 良宵 血案 老炮儿 影片 参加 拍摄 浪迹天涯 黄粱梦 大饭店 故事 武生 泰斗 电视 连续剧 电影 疯人 表演艺术 生涯 四十五年
李翰祥（1926年4月18日—1996年12月17日），外号“李黑”，中国香港演员、导演、编剧、制片人。1996年12月17日，李翰祥因心脏病复发，送医后宣告不治，享年70岁。	李翰祥 外号 李黑 中国香港 演员 导演 编剧 制片人 李翰祥 心脏病 复发 送医 宣告 享年
蒋孝勇（1948年10月27日～1996年12月22日），男，汉族，浙江宁波奉化人，出生于上海，蒋介石幼孙，蒋经国第五子。自小深得蒋介石、宋美龄夫妇的疼爱。长大后入读军校，后插班进入台湾大学就读。1973年7月23日与蒋方智怡结婚。婚后两人育有3个儿子：蒋友柏、蒋友常和蒋友青。后将全家迁往加拿大定居。几年后加入加拿大国籍，1996年12月22日，蒋孝勇因患癌症，在台北荣民总医院去世。	蒋孝勇 汉族 浙江 宁波 奉化 生于 上海 蒋介石 幼孙 蒋经国 第五 自小 深得 蒋介石 宋美龄 夫妇 疼爱 长大 后入 军校 插班 进入 台湾大学 就读 蒋方智 结婚 婚后 两人育 儿子 蒋友柏 蒋友常 蒋友青 全家 迁往 加拿大 定居 几年 加入 加拿大 国籍 蒋孝勇 因患 癌症 台北 荣民 总医院 去世
童芷苓（1922年8月21日-1995年7月6日[1] ），原籍江西省南昌市，生于天津，著名京剧表演艺术家，京剧女演员，工旦。童芷苓是著名京剧表演艺术家童祥苓的四姐，童祥苓与二哥童寿苓、四姐童芷苓、五姐童葆苓一起使“童家班”扬名京剧界。童芷苓戏路极宽，不拘成规，表演细腻，善于刻画人物。她的嗓音甜润妩媚，她的唱腔声情并茂，她在唱法上，以“荀派”的爽朗俏丽为基调，适当揉和“梅派”的典雅华贵和“程派”的含蓄委婉，于豪放中有细腻，在柔媚中见端庄，令人感到清新别致，独具一格。她的念白功力深厚、情绪充沛、节奏鲜明、感人肺腑。她的表演不拘成规，善于将传统技巧的运用与人物性格的刻画相结合，塑造各种性格迥异的妇女形象。她多才多艺的非凡才华，一直为世人所称颂。	童芷苓 原籍 江西省 南昌市 生于 天津 著名 京剧 表演艺术家 京剧 女演员 工旦 童芷苓 著名 京剧 表演艺术家 童祥苓 四姐 童祥苓 二哥 童寿苓 四姐 童芷苓 五姐 童葆苓 一起 童家班 扬名 京剧界 童芷苓 戏路 成规 表演 细腻 善于 刻画 人物 嗓音 甜润 妩媚 唱腔 声情并茂 唱法 荀派 爽朗 俏丽 基调 适当 梅派 典雅 华贵 程派 含蓄 委婉 豪放 中有 细腻 柔媚 中见 端庄 令人 感到 清新 别致 独具一格 念白 功力 深厚 情绪 充沛 节奏 鲜明 感人肺腑 表演 成规 善于 传统 技巧 运用 人物性格 刻画 相结合 塑造 性格 迥异 妇女 形象 多才多艺 非凡 才华 世人 称颂
希拉里·黛安·罗德姆·克林顿（HillaryDianeRodhamClinton，1947年10月26日-），美国律师、民主党籍政治家，第67任美国国务卿，纽约州前联邦参议员，美国前第一夫人。2000年，希拉里在纽约州联邦参议员选举中胜出，成为该州历史上第一位女性联邦参议员，更成为历史上第一位拥有公职的第一夫人，并在6年任期满后以大幅度的领先优势获得连任。希拉里·克林顿是一位富有争议的政治人物，当第一夫人期间曾主持一系列改革。希拉里在2008年美国总统选举中，首度参与美国民主党总统初选。虽然希拉里领先对手伊利诺伊州联邦参议员贝拉克·奥巴马27万张民选得票，但最终在超级代表制度票数败给对手。虽然她并非首位参与联邦总统大选的女候选人，但却被普遍认为是历史上第一位的确很有可能当选的。最后奥巴马成功当选后，提名她出任国务卿，并最终成为美国历史上的第3位女国务卿，成为2011年和2013年美国最受欢迎的政治人物。[1-2] 2016年7月28日，希拉里正式获得民主党总统候选人提名，成为美国大选历史上首位获得主要政党提名的女性。[3-4] 在同年年底的美国总统大选中，虽然她领先对手共和党总统候选人唐纳德·特朗普近三百万张民选得票，但最终在选举人团制度票数败给对手，与“美国首位女总统”失之交臂。[5] 2020年1月，希拉里受邀担任英国贝尔法斯特女王大学名誉校长。[6] 	希拉里 黛安 罗德姆 克林顿 HillaryDianeRodhamClinton 美国 律师 民主 党籍 政治家 美国 国务卿 纽约州 联邦 参议员 美国 第一夫人 希拉里 纽约州 联邦 参议员 选举 胜出 成为 该州 历史 第一位 女性 联邦 参议员 成为 历史 第一位 拥有 公职 第一夫人 任期 满后 大幅度 领先 优势 获得 连任 希拉里 克林顿 一位 富有 争议 政治 人物 第一夫人 期间 主持 一系列 改革 希拉里 美国 总统 选举 首度 参与 美国民主党 总统 初选 希拉里 领先 对手 伊利诺伊州 联邦 参议员 贝拉 奥巴马 万张 民选 得票 最终 超级 代表 制度 票数 败给 对手 并非 首位 参与 联邦 总统大选 候选人 普遍认为 历史 第一位 的确 可能 当选 最后 奥巴马 成功 当选 提名 出任 国务卿 最终 成为 美国 历史 位女 国务卿 成为 美国 受欢迎 政治 人物 希拉里 正式 获得 民主党 总统 候选人 提名 成为 美国 大选 历史 首位 获得 主要 政党 提名 女性 同年 年底 美国 总统大选 领先 对手 共和党 总统 候选人 唐纳德 特朗普 民选 得票 最终 选举人 制度 票数 败给 对手 美国 首位 总统 失之交臂 希拉里 受邀 担任 英国 贝尔法斯特 女王 大学 名誉 校长
秦沛（PaulChun），1945年6月26日生于中国北京，香港影视演员。1965年，秦沛奔赴台湾，任圆联影业公司演员，同年参演了电影《菟丝花》，并改艺名为“秦沛”。1976年起先后在香港佳兄电视台、丽的电视台和无线电视台做演员，参演《射雕英雄传》等电视剧。1986年主演其弟尔冬升执导的《癫佬正传》，获第六届香港电影金像奖最佳男配角奖。1993年再度参演尔冬升执导的《新不了情》，获第十三届香港电影金像奖最佳男配角奖。[1] 1999年，主演TVB跨世纪台庆剧《创世纪》，饰演叶孝礼。[2] 2009年，秦沛与范冰冰、周渝民合作，一起出演了年代大剧《金大班》。[3] 2013年，秦沛出演了台湾导演小徐执导的电影《特工艾米拉》。[4] 2016年，秦沛出演了由薛晓璐编剧执导的电影《北京遇上西雅图之不二情书》[5] ，并以此剧提名了53届台湾电影金马奖最佳男配角奖[6] 。	秦沛 PaulChun 生于 中国 北京 香港 影视 演员 秦沛 奔赴 台湾 任圆联 影业公司 演员 同年 参演 电影 菟丝花 艺名 秦沛 先后 香港 佳兄 电视台 电视台 无线 电视台 演员 参演 射雕 英雄传 电视剧 主演 其弟 尔冬升 执导 癫佬 正传 第六届 香港电影 金像奖 最佳 配角奖 再度 参演 尔冬升 执导 不了情 第十三届 香港电影 金像奖 最佳 配角奖 主演 TVB 跨世纪 台庆剧 创世纪 饰演 叶孝礼 秦沛 范冰冰 周渝民 合作 一起 出演 年代 大剧 金大班 秦沛 出演 台湾 导演 小徐 执导 电影 特工 米拉 秦沛 出演 薛晓璐 编剧 执导 电影 北京 遇上 西雅图 不二 情书 此剧 提名 台湾 电影 金马奖 最佳 配角奖
丁凯，1948年6月出生于辽宁省本溪市，财会专科学校毕业，现任本钢连轧厂副总会计师，高级会计师。财会专科学校毕业。对会计理论和实践知识有较高水平。所主持的微机在财务成本管理中的应用，荣获“辽宁省企业管理现代化成果一等奖”；1989年《配套应用现代化管理方法全面实现各项经济指标》获本溪市现代化管理二等奖。1990年《实行企业管理整体优化，提高企业经济效益》获本钢现代化管理三等奖。曾撰写论文21篇，其中发表在国家级刊物学术论文有《资金不足情况的企业风采录》一书中。发表在省级刊物论文有《班组核算在改革中发展》等3篇，发表在市本钢刊物论文和文章《质量与成本》15篇。自1985年以来，先后被厂评为先进工作者；物价管理先进工作者；厂劳动模范和优秀干部和本钢先进工作者；1990年出席辽宁省先进财务工作者。	丁凯 生于 辽宁省 本溪市 财会 专科学校 毕业 现任 本钢 连轧 副总 会计师 高级 会计师 财会 专科学校 毕业 会计 理论 实践 知识 高水平 主持 微机 财务 成本 管理 应用 荣获 辽宁省 企业 管理 现代化 成果 一等奖 配套 应用 现代化 管理 方法 全面实现 各项 经济指标 本溪市 现代化 管理 二等奖 实行 企业 管理 整体 优化 提高 企业 经济效益 本钢 现代化 管理 三等奖 撰写论文 发表 国家级 刊物 学术论文 资金不足 情况 企业 风采录 一书中 发表 省级 刊物 论文 班组 核算 在改革中 发展 发表 本钢 刊物 论文 文章 质量 成本 以来 先后 评为 先进 工作者 物价管理 先进 工作者 劳动模范 优秀干部 本钢 先进 工作者 出席 辽宁省 先进 财务 工作者
黄新德，男，汉族，1947年8月出生，安徽怀宁人。第二批国家级非物质文化遗产项目黄梅戏代表性传承人，国家一级演员，第九届中国戏剧梅花奖获得者，享受国务院政府特殊津贴。[1] 	黄新德 汉族 出生 安徽 怀宁 第二批 国家级 物质 文化遗产 项目 黄梅戏 代表性 传承 国家一级 演员 第九届 中国 戏剧 梅花奖 获得者 享受 国务院 政府 特殊津贴
女，著名京剧教育家，程派（程砚秋）艺术传人，国家一级演员，国务院政府特殊津贴获得者，北京市名师奖获得者，北京市非遗传承人，全国第一位举行个人教学成果展演的戏曲专业教师，中国青年京剧演员研究生班导师，京剧流派班导师。[1] 	著名 京剧 教育家 程派 程砚秋 艺术 传人 国家一级 演员 国务院 政府 特殊津贴 获得者 北京市 名师 获得者 北京市 遗传 承人 全国 第一位 举行 个人 教学 成果 展演 戏曲 专业 教师 中国 青年 京剧 演员 研究生班 导师 京剧 流派 导师
狄龙（TommyTam），本名谭富荣，1946年8月19日生于中国香港，动作演员、导演、编剧。[1] 1973年凭借复仇题材电影《刺马》获得第11届台湾电影金马奖“优秀演技特别奖”和第19届亚太电影节“优异演技奖”。[2] 1980年凭借动作片《少林英雄》获得了第17届台湾电影金马奖“最佳男主角奖提名”。1986年凭借犯罪片《英雄本色》获得了第23届台湾电影金马奖“最佳男主角奖”。1991年狄龙出演慈善片《豪门夜宴》。[3] 1994年狄龙主演功夫片《醉拳II》。[4] 2000年凭借喜剧片《流星语》获得了第19届香港电影金像奖“最佳男配角奖”。2007年获得了第12届香港电影金紫荆奖“卓越成就奖”。2015年出演电视剧《神探亨特詹》。[2] 2019年2月，参演的电视剧《乡村爱情11》在优酷播出[5] 。	狄龙 TommyTam 本名 谭富荣 生于 中国香港 动作 演员 导演 编剧 复仇 题材 电影 刺马 获得 台湾 电影 金马奖 优秀 演技 特别奖 亚太 电影节 优异 演技 动作片 少林 英雄 获得 台湾 电影 金马奖 最佳 主角奖 提名 犯罪 英雄本色 获得 台湾 电影 金马奖 最佳 主角奖 狄龙 出演 慈善 豪门 夜宴 狄龙 主演 功夫片 醉拳 II 喜剧片 流星 获得 香港电影 金像奖 最佳 配角奖 获得 香港电影 金紫荆 卓越 成就奖 出演 电视剧 神探 亨特 参演 电视剧 乡村 爱情 优酷 播出
